iter	Logloss
217	0.1614838407
218	0.1603246131
219	0.1594563026
220	0.1589002516
221	0.157816114
222	0.1566842036
223	0.1558025793
224	0.1550773185
225	0.1540654679
226	0.1531366092
227	0.1529698465
228	0.152138367
229	0.151315509
230	0.1504919256
231	0.1495367353
232	0.1487729916
233	0.1479306562
234	0.1470320683
235	0.1461498224
236	0.1454291462
237	0.1443461242
238	0.1434190023
239	0.1429538149
240	0.1423992827
241	0.1415956101
242	0.1409614005
243	0.1404584165
244	0.1396612563
245	0.138433208
246	0.1381049495
247	0.1373052204
248	0.136710668
249	0.1360540118
250	0.1351281733
251	0.1346995126
252	0.1342219837
253	0.1332026385
254	0.1322722821
255	0.1317252511
256	0.1308956393
257	0.1304175697
258	0.1296833788
259	0.1291691122
260	0.1287771223
261	0.1281873126
262	0.1275606608
263	0.1268931346
264	0.1260759016
265	0.1254357638
266	0.1247034484
267	0.1241858184
268	0.1237662259
269	0.123200879
270	0.122805222
271	0.1219699476
272	0.1212164316
273	0.1203868275
274	0.1195881439
275	0.1190541349
276	0.1185768912
277	0.1180520356
278	0.1174319919
279	0.1170747678
280	0.1164777878
281	0.1158577777
282	0.1155060381
283	0.1147938498
284	0.1145281494
285	0.1136355678
286	0.1131973461
287	0.1129477442
288	0.1126511017
289	0.1121695556
290	0.1119046092
291	0.1113187561
292	0.1105545015
293	0.1102351563
294	0.1096897572
295	0.109394288
296	0.1090285023
297	0.1086198414
298	0.1080524888
299	0.1079247793
300	0.1073562733
301	0.1068026141
302	0.106086972
303	0.1054597224
304	0.1049965223
305	0.1046991483
306	0.1042586628
307	0.1040364644
308	0.1035010277
309	0.1030658303
310	0.1028692041
311	0.1025456606
312	0.1020513372
313	0.1016779843
314	0.1012434454
315	0.1009156046
316	0.1005677396
317	0.100126954
318	0.09958122931
319	0.09907730789
320	0.09876086324
321	0.09828841182
322	0.09784093206
323	0.09766779357
324	0.09725041487
325	0.09666175759
326	0.09596775317
327	0.09564306312
328	0.09546042449
329	0.09514255421
330	0.09459272579
331	0.0942542354
332	0.09404218502
333	0.09384001582
334	0.09344508901
335	0.09306121745
336	0.09272680008
337	0.09254999121
338	0.0922135855
339	0.09169360073
340	0.09132113887
341	0.09121303361
342	0.09072076515
343	0.09058406989
344	0.09009128655
345	0.0900043459
346	0.08956241472
347	0.08935694893
348	0.08903869155
349	0.0888199328
350	0.08818831159
351	0.08783573017
352	0.08742457431
353	0.08679066907
354	0.08638031894
355	0.08601195408
356	0.08561458906
357	0.08534886326
358	0.08514437329
359	0.08492450701
360	0.08448399293
361	0.0841906093
362	0.08406253586
363	0.08373807453
364	0.08322875364
365	0.08296019101
366	0.08271784204
367	0.08235165768
368	0.08225738262
369	0.08209787747
370	0.08180780983
371	0.08137280938
372	0.08099141993
373	0.08065050086
374	0.08032892744
375	0.07984954073
376	0.07944900887
377	0.07912475268
378	0.07874469152
379	0.07842558109
380	0.07809602994
381	0.07768222748
382	0.07732282733
383	0.0770535313
384	0.07651146326
385	0.07617969154
386	0.07587100618
387	0.07549358862
388	0.07513558385
389	0.07467941655
390	0.07424955127
391	0.07396256895
392	0.07371687759
393	0.07335474618
394	0.07304736519
395	0.07255609122
396	0.07241062659
397	0.07226579348
398	0.07206194604
399	0.07186071499
