iter	Logloss
0	0.6823605229
1	0.6776259295
2	0.6703875834
3	0.6660577434
4	0.663418714
5	0.6580502011
6	0.6497530172
7	0.6417299653
8	0.6400917474
9	0.6297522516
10	0.6238273567
11	0.6187689339
12	0.6172036263
13	0.6084246508
14	0.605118585
15	0.6001287752
16	0.5957382267
17	0.593650634
18	0.5864607978
19	0.5770703623
20	0.5729629352
21	0.5662559056
22	0.5633212474
23	0.5576170071
24	0.5520682595
25	0.5493627887
26	0.5442816888
27	0.5419052917
28	0.5367802458
29	0.5333997473
30	0.5312266027
31	0.5289273114
32	0.5263301318
33	0.5218647438
34	0.5193747977
35	0.5127980346
36	0.5097190007
37	0.5056010309
38	0.5022603757
39	0.4990717639
40	0.4944520447
41	0.4922711131
42	0.4890461329
43	0.4853951784
44	0.4825237184
45	0.4775819356
46	0.4753229531
47	0.4734932002
48	0.4734296144
49	0.4714100303
50	0.4695186673
51	0.4663539181
52	0.4638551763
53	0.4610836449
54	0.4575582149
55	0.45596943
56	0.453344972
57	0.4487214026
58	0.4453904248
59	0.4431587165
60	0.4398903815
61	0.4395986314
62	0.436095861
63	0.4346735327
64	0.4310315914
65	0.429028393
66	0.4248078947
67	0.4221978347
68	0.4194273397
69	0.4154644462
70	0.4131489874
71	0.4107345964
72	0.4070500932
73	0.4045642298
74	0.4024058108
75	0.3995229616
76	0.3958970018
77	0.3913396543
78	0.3885087726
79	0.3851478719
80	0.3824460816
81	0.3802158478
82	0.3778320199
83	0.3753789117
84	0.3734109919
85	0.3696959621
86	0.3681276081
87	0.3660712297
88	0.3643262235
89	0.3628616179
90	0.359697619
91	0.3576803151
92	0.3551336879
93	0.3516631316
94	0.3482688236
95	0.3452352916
96	0.3426542195
97	0.3388321998
98	0.3372939482
99	0.334736658
100	0.332650006
101	0.3306138525
102	0.328090998
103	0.3258837111
104	0.3237621257
105	0.3216550964
106	0.3208043677
107	0.3190245226
108	0.3165947364
109	0.3141369411
110	0.3122195077
111	0.3106078078
112	0.3090024007
113	0.3077890591
114	0.3057798595
115	0.3032497846
116	0.3001465177
117	0.2968131722
118	0.2948357203
119	0.2924183839
120	0.29117258
121	0.2892310784
122	0.2864401112
123	0.2840686217
124	0.2822942183
125	0.2806208729
126	0.2791673561
127	0.2771917355
128	0.2753452127
129	0.2740785714
130	0.2720169945
131	0.2703764128
132	0.2681409511
133	0.2656755868
134	0.2639965615
135	0.2619278328
136	0.260085976
137	0.2590274087
138	0.2575172971
139	0.2553886669
140	0.2537522378
141	0.2522590915
142	0.2519317373
143	0.250618349
144	0.2479957017
145	0.2455595903
146	0.2440481528
147	0.2423039237
148	0.2414567653
149	0.2396096572
150	0.2380344983
151	0.2362139483
152	0.2349757054
153	0.2330661597
154	0.2320462835
155	0.2300888652
156	0.2290984541
157	0.2274716936
158	0.2252090395
159	0.2233993988
160	0.2223374798
161	0.2219029635
162	0.2205751351
163	0.2191967566
164	0.2181167392
165	0.2167594879
166	0.215708251
167	0.2152868844
168	0.2140334303
169	0.2128294479
170	0.2111702981
171	0.2098229396
172	0.208094531
173	0.2071148655
174	0.2059270681
175	0.2053543558
176	0.2048496076
177	0.2042742536
178	0.2030543004
179	0.2014893892
180	0.2000321607
181	0.198787335
182	0.1979048608
183	0.1972810723
184	0.196567867
185	0.1958844156
186	0.1942704005
187	0.192881792
188	0.192258476
189	0.1912261419
190	0.1897089754
191	0.1890022641
192	0.1880773459
193	0.1868418708
194	0.1856428353
195	0.1839277834
196	0.1828297155
197	0.181831639
198	0.1799391156
199	0.1790556533
200	0.1778065578
201	0.1769255731
202	0.1760605797
203	0.1748551113
204	0.1735509762
205	0.1728189056
206	0.1717276404
207	0.1705096865
208	0.1699592054
209	0.1687540778
210	0.1674567597
211	0.1670878755
212	0.1662736883
213	0.1654566986
214	0.1645258419
215	0.1633697076
216	0.1620921513
